#DO NOT EDIT THIS FILE. YOUR CHANGES WILL BE ERASED WHEN THE PLUGIN IS RELOADED.
#ItemName,ID,Damage
#https://www.digminecraft.com/lists/item_id_list_pc.php
acacia_boat,acacia_boat,0
acacia_button,acacia_button,0
acacia_chest_boat,acacia_chest_boat,0
acacia_door,acacia_door,0
acacia_fence,acacia_fence,0
acacia_fence_gate,acacia_fence_gate,0
acacia_hanging_sign,acacia_hanging_sign,0
acacia_leaves,acacia_leaves,0
acacia_log,acacia_log,0
acacia_planks,acacia_planks,0
acacia_pressure_plate,acacia_pressure_plate,0
acacia_sapling,acacia_sapling,0
acacia_sign,acacia_sign,0
acacia_slab,acacia_slab,0
acacia_stairs,acacia_stairs,0
acacia_trapdoor,acacia_trapdoor,0
acacia_wood,acacia_wood,0
activator_rail,activator_rail,0
air,air,0
allay_spawn_egg,allay_spawn_egg,0
allium,allium,0
amethyst_block,amethyst_block,0
amethyst_cluster,amethyst_cluster,0
amethyst_shard,amethyst_shard,0
ancient_debris,ancient_debris,0
andesite,andesite,0
andesite_slab,andesite_slab,0
andesite_stairs,andesite_stairs,0
andesite_wall,andesite_wall,0
angler_pottery_sherd,angler_pottery_sherd,0
anvil,anvil,0
apple,apple,0
archer_pottery_sherd,archer_pottery_sherd,0
armadillo_scute,armadillo_scute,0
armadillo_spawn_egg,armadillo_spawn_egg,0
armor_stand,armor_stand,0
arms_up_pottery_sherd,arms_up_pottery_sherd,0
arrow,arrow,0
attached_melon_stem,attached_melon_stem,0
attached_pumpkin_stem,attached_pumpkin_stem,0
axolotl_bucket,axolotl_bucket,0
axolotl_spawn_egg,axolotl_spawn_egg,0
azalea,azalea,0
azalea_leaves,azalea_leaves,0
azure_bluet,azure_bluet,0
baked_potato,baked_potato,0
bamboo,bamboo,0
bamboo_block,bamboo_block,0
bamboo_button,bamboo_button,0
bamboo_chest_raft,bamboo_chest_raft,0
bamboo_door,bamboo_door,0
bamboo_fence,bamboo_fence,0
bamboo_fence_gate,bamboo_fence_gate,0
bamboo_hanging_sign,bamboo_hanging_sign,0
bamboo_mosaic,bamboo_mosaic,0
bamboo_mosaic_slab,bamboo_mosaic_slab,0
bamboo_mosaic_stairs,bamboo_mosaic_stairs,0
bamboo_planks,bamboo_planks,0
bamboo_pressure_plate,bamboo_pressure_plate,0
bamboo_raft,bamboo_raft,0
bamboo_sapling,bamboo_sapling,0
bamboo_sign,bamboo_sign,0
bamboo_slab,bamboo_slab,0
bamboo_stairs,bamboo_stairs,0
bamboo_trapdoor,bamboo_trapdoor,0
barrel,barrel,0
barrier,barrier,0
basalt,basalt,0
bat_spawn_egg,bat_spawn_egg,0
beacon,beacon,0
bedrock,bedrock,0
bee_nest,bee_nest,0
bee_spawn_egg,bee_spawn_egg,0
beef,beef,0
beehive,beehive,0
beetroot,beetroot,0
beetroot_seeds,beetroot_seeds,0
beetroot_soup,beetroot_soup,0
beetroots,beetroots,0
bell,bell,0
big_dripleaf,big_dripleaf,0
big_dripleaf_stem,big_dripleaf_stem,0
birch_boat,birch_boat,0
birch_button,birch_button,0
birch_chest_boat,birch_chest_boat,0
birch_door,birch_door,0
birch_fence,birch_fence,0
birch_fence_gate,birch_fence_gate,0
birch_hanging_sign,birch_hanging_sign,0
birch_leaves,birch_leaves,0
birch_log,birch_log,0
birch_planks,birch_planks,0
birch_pressure_plate,birch_pressure_plate,0
birch_sapling,birch_sapling,0
birch_sign,birch_sign,0
birch_slab,birch_slab,0
birch_stairs,birch_stairs,0
birch_trapdoor,birch_trapdoor,0
birch_wood,birch_wood,0
black_banner,black_banner,0
black_bed,black_bed,0
black_candle,black_candle,0
black_candle_cake,black_candle_cake,0
black_carpet,black_carpet,0
black_concrete,black_concrete,0
black_concrete_powder,black_concrete_powder,0
black_dye,black_dye,0
black_glazed_terracotta,black_glazed_terracotta,0
black_shulker_box,black_shulker_box,0
black_stained_glass,black_stained_glass,0
black_stained_glass_pane,black_stained_glass_pane,0
black_terracotta,black_terracotta,0
black_wool,black_wool,0
blackstone,blackstone,0
blackstone_slab,blackstone_slab,0
blackstone_stairs,blackstone_stairs,0
blackstone_wall,blackstone_wall,0
blade_pottery_sherd,blade_pottery_sherd,0
blast_furnace,blast_furnace,0
blaze_powder,blaze_powder,0
blaze_rod,blaze_rod,0
blaze_spawn_egg,blaze_spawn_egg,0
blue_banner,blue_banner,0
blue_bed,blue_bed,0
blue_candle,blue_candle,0
